Continent,Year,Average_Military_Expenditure_per_Year,Average_GPI_per_Year
Africa,2008,1015.068141,2.108795918
Africa,2009,1083.42592,2.122265306
Africa,2010,915.0883783,2.122530612
Africa,2011,990.1706269,2.196244898
Africa,2012,999.5073524,2.185367347
Africa,2013,1090.24636,2.183693878
Africa,2014,1139.166349,2.203102041
Africa,2015,1109.691908,2.208285714
Africa,2016,1070.542022,2.215428571
Africa,2017,1052.070011,2.229714286
Africa,2018,988.8318519,2.243367347
Africa,2019,1014.465908,2.241244898
Africa,2020,1056.077349,2.25755102
Africa,2021,1084.602503,2.279061224
Africa,2022,1036.061393,2.288591837
Asia,2008,10871.47426,2.128195652
Asia,2009,12030.90734,2.129521739
Asia,2010,12445.77743,2.141108696
Asia,2011,13273.59043,2.126630435
Asia,2012,13803.6786,2.128782609
Asia,2013,15199.99443,2.118347826
Asia,2014,16101.06473,2.097130435
Asia,2015,17022.15148,2.113565217
Asia,2016,16686.61223,2.17523913
Asia,2017,17671.1536,2.192391304
Asia,2018,17784.12459,2.201391304
Asia,2019,18681.36629,2.193347826
Asia,2020,18984.79504,2.19326087
Asia,2021,19073.49303,2.184282609
Asia,2022,20554.87214,2.173652174
Europe,2008,9446.866626,1.666230769
Europe,2009,9611.480476,1.685282051
Europe,2010,9434.672513,1.697666667
Europe,2011,9263.991155,1.688564103
Europe,2012,9393.982758,1.684615385
Europe,2013,9255.904497,1.665846154
Europe,2014,9375.298109,1.645307692
Europe,2015,9631.562927,1.649
Europe,2016,10023.91151,1.647410256
Europe,2017,9736.739765,1.661820513
Europe,2018,9893.076183,1.667205128
Europe,2019,10402.95712,1.656948718
Europe,2020,10939.97394,1.662923077
Europe,2021,11204.38181,1.655
Europe,2022,13044.635,1.672435897
North America,2008,70740.85044,1.983857143
North America,2009,76286.0602,1.988642857
North America,2010,78223.99509,2.025285714
North America,2011,77412.0782,2.033714286
North America,2012,79285.1866,2.041642857
North America,2013,67639.05367,2.003642857
North America,2014,63642.41036,1.991642857
North America,2015,62434.53412,1.9945
North America,2016,62337.47979,1.9825
North America,2017,62016.27078,1.997142857
North America,2018,63858.05,2.006428571
North America,2019,67382.91936,2.054642857
North America,2020,70666.47728,2.064571429
North America,2021,69902.80348,2.074428571
North America,2022,69152.22861,2.096
Oceania,2008,7771.13249,1.546666667
Oceania,2009,8344.278178,1.554
Oceania,2010,8441.007135,1.555333333
Oceania,2011,8314.925296,1.587
Oceania,2012,8040.40721,1.598333333
Oceania,2013,7960.714548,1.583666667
Oceania,2014,8587.31857,1.557666667
Oceania,2015,9416.383893,1.547333333
Oceania,2016,10307.12609,1.546666667
Oceania,2017,10339.05476,1.547
Oceania,2018,10178.63802,1.543
Oceania,2019,10611.88636,1.556666667
Oceania,2020,11110.30559,1.564333333
Oceania,2021,11701.89604,1.606666667
Oceania,2022,11790.63468,1.626666667
South America,2008,3757.163544,2.033090909
South America,2009,3995.008687,2.057454545
South America,2010,4314.606648,2.092909091
South America,2011,4228.48982,2.048909091
South America,2012,4331.219055,2.017
South America,2013,4514.011552,2.030090909
South America,2014,4567.959347,2.015545455
South America,2015,4518.339734,2.058181818
South America,2016,4312.585755,2.044363636
South America,2017,4552.792572,2.034090909
South America,2018,4648.050558,2.056909091
South America,2019,4553.366461,2.1
South America,2020,4504.626028,2.142909091
South America,2021,4409.736171,2.160909091
South America,2022,4251.098365,2.156545455
