Country,Average_Military_Expenditure,GPI,Continent
Afghanistan,221.3979002,3.322666667,Asia
Albania,207.9265169,1.776333333,Europe
Algeria,8654.6501,2.287866667,Africa
Angola,3841.031536,2.0142,Africa
Argentina,4482.175921,1.932066667,South America
Armenia,615.9385956,2.140733333,Asia
Australia,26248.65336,1.424866667,Oceania
Austria,3460.074663,1.300533333,Europe
Azerbaijan,2443.730004,2.358,Asia
Bahrain,1386.521235,2.096266667,Asia
Bangladesh,3491.033465,2.060933333,Asia
Belarus,737.719869,2.107266667,Europe
Belgium,5412.30289,1.472133333,Europe
Benin,82.13609003,2.039466667,Africa
Bhutan,,1.660266667,Asia
Bolivia,619.3322496,1.9968,South America
Bosnia and Herz.,,1.812933333,Europe
Botswana,444.7472357,1.7824,Africa
Brazil,22851.85907,2.181866667,South America
Bulgaria,1080.57296,1.6158,Europe
Burkina Faso,247.0328573,1.997466667,Africa
Burundi,83.75328334,2.407,Africa
Cambodia,426.2194637,2.020866667,Asia
Cameroon,392.931644,2.282533333,Africa
Canada,22432.23192,1.3598,North America
Central African Rep.,,2.9868,Africa
Chad,414.4825588,2.5776,Africa
Chile,4756.953073,1.681866667,South America
China,205951.1994,2.1008,Asia
Colombia,8378.629953,2.693733333,South America
Costa Rica,0,1.7132,North America
Croatia,1037.960046,1.570733333,Europe
Cuba,,2.006533333,North America
Cyprus,408.7269137,1.871466667,Europe
Czechia,3069.992845,1.376066667,Europe
Côte d'Ivoire,,2.254666667,Africa
Dem. Rep. Congo,,2.995066667,Africa
Denmark,4309.579534,1.275,Europe
Djibouti,50.58824643,2.062266667,Africa
Dominican Republic,530.3988067,2.024533333,North America
Ecuador,2682.777648,2.027533333,South America
Egypt,4552.816417,2.3144,Africa
El Salvador,299.793952,2.151666667,North America
Eq. Guinea,,1.836066667,Africa
Eritrea,,2.463666667,Africa
Estonia,605.3599243,1.6346,Europe
Ethiopia,598.8009131,2.481066667,Africa
Finland,3739.39752,1.376,Europe
France,49642.28215,1.814533333,Europe
Gabon,258.377799,2.007466667,Africa
Georgia,455.1763028,2.263533333,Asia
Germany,45687.42966,1.518666667,Europe
Ghana,180.4094474,1.7582,Africa
Greece,6386.466737,1.941,Europe
Guatemala,339.259376,2.168333333,North America
Guinea,330.260084,2.1762,Africa
Guinea-Bissau,20.56530729,2.224133333,Africa
Guyana,58.17786424,2.053066667,South America
Haiti,9.489413344,2.051,North America
Honduras,344.7150725,2.230666667,North America
Hungary,1613.875051,1.482066667,Europe
Iceland,0,1.136733333,Europe
India,63673.04231,2.529333333,Asia
Indonesia,7325.03031,1.747866667,Asia
Iran,6592.47248,2.514666667,Asia
Iraq,5439.881396,3.28,Asia
Ireland,1132.18412,1.377333333,Europe
Israel,20554.81544,2.746933333,Asia
Italy,29530.94238,1.679133333,Europe
Jamaica,175.5952768,1.989733333,North America
Japan,40948.55466,1.375866667,Asia
Jordan,2032.198122,1.921533333,Asia
Kazakhstan,1516.17099,2.013933333,Asia
Kenya,1078.105247,2.4378,Africa
Kosovo,56.97096128,1.9486,Europe
Kuwait,7071.952508,1.665533333,Asia
Kyrgyzstan,,2.177666667,Asia
Laos,17.88503317,1.793066667,Asia
Latvia,536.0992429,1.615333333,Europe
Lebanon,1256.671278,2.607133333,Asia
Lesotho,45.68161016,1.9556,Africa
Liberia,32.30144741,1.9296,Africa
Libya,2663.394463,2.722866667,Africa
Lithuania,837.4908469,1.693933333,Europe
Macedonia,,1.861066667,Europe
Madagascar,78.72702798,1.981066667,Africa
Malawi,71.01130169,1.818266667,Africa
Malaysia,3870.923633,1.605733333,Asia
Mali,339.5401237,2.521866667,Africa
Mauritania,153.242913,2.2398,Africa
Mauritius,18.749059,1.565533333,Africa
Mexico,6734.564539,2.4618,North America
Moldova,43.60708984,1.914466667,Europe
Mongolia,107.5665362,1.816266667,Asia
