Country,Region,Year,VALUE
Aruba,Americas,1990,0
Anguilla,Americas,1990,0
Armenia,Asia,1990,5.004864278
Antigua and Barbuda,Americas,1990,1.579080344
Australia,Oceania,1990,2.193805339
Austria,Europe,1990,1.159045983
Azerbaijan,Asia,1990,4.429284653
Belgium,Europe,1990,1.040930731
Bulgaria,Europe,1990,2.589025406
Bahamas,Americas,1990,16.62485823
Bosnia and Herzegovina,Europe,1990,1.624275668
Belarus,Europe,1990,4.871254564
Bermuda,Americas,1990,1.740038281
Brazil,Americas,1990,19.44255874
Barbados,Americas,1990,13.13410696
Bhutan,Asia,1990,3.581392517
Canada,Americas,1990,2.375511191
Switzerland,Europe,1990,1.638930744
Colombia,Americas,1990,74.62871295
Costa Rica,Americas,1990,4.401165961
Cayman Islands,Americas,1990,7.684180194
Cyprus,Asia,1990,0.634115409
Germany,Europe,1990,1.172984378
Denmark,Europe,1990,0.796948426
Ecuador,Americas,1990,8.536017496
Egypt,Africa,1990,0.47015946
Spain,Europe,1990,1.244431406
Estonia,Europe,1990,7.51269837
Finland,Europe,1990,3.048202714
Fiji,Oceania,1990,4.100303679
France,Europe,1990,2.401933019
United Kingdom (Scotland),Europe,1990,1.500717661
Georgia,Asia,1990,5.007756458
Greece,Europe,1990,1.009487729
Guyana,Americas,1990,12.04631406
"China, Hong Kong Special Administrative Region",Asia,1990,2.346463366
Honduras,Americas,1990,9.806250809
Croatia,Europe,1990,2.811001974
Hungary,Europe,1990,1.93716455
India,Asia,1990,5.073455128
Ireland,Europe,1990,0.487752394
Iraq,Asia,1990,6.614422544
Israel,Asia,1990,3.060425287
Italy,Europe,1990,3.160868045
Jamaica,Americas,1990,22.74218969
Jordan,Asia,1990,3.447694311
Japan,Asia,1990,0.546543866
Kazakhstan,Asia,1990,8.745113038
Republic of Korea,Asia,1990,0.471514617
Saint Lucia,Americas,1990,9.838300504
Sri Lanka,Asia,1990,11.53795137
Lesotho,Africa,1990,28.84940887
Lithuania,Europe,1990,4.754550303
Morocco,Africa,1990,0.362218362
Republic of Moldova,Europe,1990,6.472926761
Maldives,Asia,1990,0.444529399
Mexico,Americas,1990,17.73485572
Malta,Europe,1990,1.094716215
Myanmar,Asia,1990,5.102301265
Montserrat,Americas,1990,0
Mauritius,Africa,1990,1.834374341
Malaysia,Asia,1990,1.786830035
Nicaragua,Americas,1990,15.89471643
Netherlands (Kingdom of the),Europe,1990,0.903339465
Norway,Europe,1990,1.108063021
Nepal,Asia,1990,1.804600508
New Zealand,Oceania,1990,1.864610332
Pakistan,Asia,1990,7.112650997
Panama,Americas,1990,11.34708698
Philippines,Asia,1990,15.07661817
Poland,Europe,1990,1.783825797
Puerto Rico,Americas,1990,16.93109271
Portugal,Europe,1990,1.547552797
Qatar,Asia,1990,0.905644315
Romania,Europe,1990,3.485688577
Russian Federation,Europe,1990,14.28661155
Singapore,Asia,1990,1.555153863
Sao Tome and Principe,Africa,1990,6.647665423
Slovakia,Europe,1990,1.767622291
Slovenia,Europe,1990,2.06442621
Sweden,Europe,1990,1.111318297
Eswatini,Africa,1990,19.08640521
Turks and Caicos Islands,Americas,1990,0
Thailand,Asia,1990,9.676179343
Tajikistan,Asia,1990,3.100854747
Turkmenistan,Asia,1990,8.924061878
Ukraine,Europe,1990,4.958342845
Uruguay,Americas,1990,6.608891269
United States of America,Americas,1990,9.447616662
Uzbekistan,Asia,1990,5.466711372
Saint Vincent and the Grenadines,Americas,1990,9.778864318
Venezuela (Bolivarian Republic of),Americas,1990,12.52621505
British Virgin Islands,Americas,1990,6.403483495
Zambia,Africa,1990,7.15549449
Zimbabwe,Africa,1990,5.803897668
Anguilla,Americas,1991,11.60564034
Armenia,Asia,1991,5.141486238
Antigua and Barbuda,Americas,1991,4.714460823
Australia,Oceania,1991,1.968608112
Austria,Europe,1991,1.328066111
Azerbaijan,Asia,1991,4.735836499
Belgium,Europe,1991,1.023645979
Bulgaria,Europe,1991,4.299639713
Bahamas,Americas,1991,10.14281445
Belarus,Europe,1991,4.446519699
Bermuda,Americas,1991,5.18367488
Brazil,Americas,1991,18.35732717
Barbados,Americas,1991,8.095542825
Bhutan,Asia,1991,2.113755262
Canada,Americas,1991,2.691342206
Switzerland,Europe,1991,1.44215353
Colombia,Americas,1991,85.42757729
Costa Rica,Americas,1991,4.074809804
Cayman Islands,Americas,1991,7.315155173
Cyprus,Asia,1991,0.125146969
Germany,Europe,1991,1.412245519
Denmark,Europe,1991,1.31825738
Dominican Republic,Americas,1991,12.47526586
Ecuador,Americas,1991,10.78953675
Egypt,Africa,1991,0.491375071
Spain,Europe,1991,1.127007716
Estonia,Europe,1991,7.600788694
Finland,Europe,1991,3.071489517
Fiji,Oceania,1991,2.166068662
France,Europe,1991,2.392081972
United Kingdom (England and Wales),Europe,1991,1.225663269
United Kingdom (Northern Ireland),Europe,1991,7.092661895
United Kingdom (Scotland),Europe,1991,1.259017219
Georgia,Asia,1991,7.872823277
Greece,Europe,1991,1.328002462
Guyana,Americas,1991,25.80310484
"China, Hong Kong Special Administrative Region",Asia,1991,1.553149712
Honduras,Americas,1991,13.54259007
Croatia,Europe,1991,9.020497791
Hungary,Europe,1991,2.959108304
India,Asia,1991,5.464250011
Ireland,Europe,1991,0.656241931
Iraq,Asia,1991,6.561555148
Israel,Asia,1991,2.265916648
Italy,Europe,1991,3.412302908
Jamaica,Americas,1991,23.46729733
Jordan,Asia,1991,3.30025892
Japan,Asia,1991,0.515015262
Kazakhstan,Asia,1991,8.897366756
Kiribati,Oceania,1991,0
Republic of Korea,Asia,1991,0.486778534
Saint Lucia,Americas,1991,6.931520048
Lesotho,Africa,1991,30.00803494
Lithuania,Europe,1991,5.641338463
"China, Macao Special Administrative Region",Asia,1991,3.311345082
Morocco,Africa,1991,0.496236546
Republic of Moldova,Europe,1991,6.457462689
Mexico,Americas,1991,18.14962247
Marshall Islands,Oceania,1991,10.62620209
Malta,Europe,1991,0.813736965
Montserrat,Americas,1991,0
Mauritius,Africa,1991,2.626193107
Malaysia,Asia,1991,2.131265414
Nicaragua,Americas,1991,16.91589887
Netherlands (Kingdom of the),Europe,1991,1.176346738
Norway,Europe,1991,1.173189247
New Zealand,Oceania,1991,1.539585976
Panama,Americas,1991,11.75039288
Philippines,Asia,1991,13.81192004
Poland,Europe,1991,2.224412458
Puerto Rico,Americas,1991,22.83111403
Portugal,Europe,1991,1.522599936
Qatar,Asia,1991,0.876260035
Romania,Europe,1991,3.616069234
Russian Federation,Europe,1991,15.23757283
Singapore,Asia,1991,1.634290622
Sao Tome and Principe,Africa,1991,5.687172988
Slovakia,Europe,1991,2.424138205
Slovenia,Europe,1991,2.010254307
Sweden,Europe,1991,1.338116265
Eswatini,Africa,1991,19.10731737
Turks and Caicos Islands,Americas,1991,0
Thailand,Asia,1991,9.956703943
Tajikistan,Asia,1991,2.663640195
Turkmenistan,Asia,1991,8.006736125
Ukraine,Europe,1991,5.12455127
Uruguay,Americas,1991,6.187459614
United States of America,Americas,1991,9.819916298
Uzbekistan,Asia,1991,5.03931233
Saint Vincent and the Grenadines,Americas,1991,15.96027664
Venezuela (Bolivarian Republic of),Americas,1991,12.37008567
British Virgin Islands,Americas,1991,0
Zambia,Africa,1991,8.679689754
Anguilla,Americas,1992,0
Albania,Europe,1992,3.934935538
Armenia,Asia,1992,8.532528236
Antigua and Barbuda,Americas,1992,3.093150219
Australia,Oceania,1992,1.723693234
Austria,Europe,1992,1.237115979
Azerbaijan,Asia,1992,7.378974998
Belgium,Europe,1992,1.207521221
Bulgaria,Europe,1992,5.329616599
Bahamas,Americas,1992,14.54042504
Belarus,Europe,1992,5.670152888
Bermuda,Americas,1992,1.714604141
Brazil,Americas,1992,16.65600292
Barbados,Americas,1992,8.454628429
Bhutan,Asia,1992,4.945562182
Canada,Americas,1992,2.585753079
Switzerland,Europe,1992,1.353085668
Colombia,Americas,1992,83.04301132
Costa Rica,Americas,1992,4.816462669
Cuba,Americas,1992,6.240872839
Cayman Islands,Americas,1992,3.487175911
Cyprus,Asia,1992,0.246782268
Germany,Europe,1992,1.443799722
Denmark,Europe,1992,1.197959064
Dominican Republic,Americas,1992,10.86526266
Ecuador,Americas,1992,8.566803937
Egypt,Africa,1992,0.46008326
Spain,Europe,1992,1.124349058
Estonia,Europe,1992,14.08741468
Finland,Europe,1992,3.093936064
Fiji,Oceania,1992,3.304278978
France,Europe,1992,2.36001489
